Species,Longitude,Latitude,Range
b_dorsalis,9.583,4.417,Invasive
b_dorsalis,18.583,4.417,Invasive
b_dorsalis,9.417,4.25,Invasive
b_dorsalis,9.917,4.083,Invasive
b_dorsalis,11.583,4.083,Invasive
b_dorsalis,11.917,4.083,Invasive
b_dorsalis,10.583,3.917,Invasive
b_dorsalis,11.583,3.917,Invasive
b_dorsalis,8.75,3.75,Invasive
b_dorsalis,10.083,3.583,Invasive
b_dorsalis,11.417,3.583,Invasive
b_dorsalis,11.583,3.583,Invasive
b_dorsalis,101.75,3.083,Native
b_dorsalis,20.917,2.917,Invasive
b_dorsalis,11.083,2.583,Invasive
b_dorsalis,22.75,2.083,Invasive
b_dorsalis,22.917,2.083,Invasive
b_dorsalis,28.583,2.083,Invasive
b_dorsalis,31.583,1.75,Invasive
b_dorsalis,31.75,1.75,Invasive
b_dorsalis,11.583,1.583,Invasive
b_dorsalis,30.25,1.583,Invasive
b_dorsalis,29.917,1.417,Invasive
b_dorsalis,35.417,1.417,Invasive
b_dorsalis,23.75,1.25,Invasive
b_dorsalis,24.25,0.917,Invasive
b_dorsalis,30.083,0.917,Invasive
b_dorsalis,32.417,0.917,Invasive
b_dorsalis,24.25,0.75,Invasive
b_dorsalis,32.583,0.75,Invasive
b_dorsalis,25.25,0.583,Invasive
b_dorsalis,33.417,0.583,Invasive
b_dorsalis,33.75,0.583,Invasive
b_dorsalis,29.75,0.417,Invasive
b_dorsalis,32.417,0.417,Invasive
b_dorsalis,33.25,0.417,Invasive
b_dorsalis,29.75,0.083,Invasive
b_dorsalis,32.417,0.083,Invasive
b_dorsalis,34.75,-0.083,Invasive
b_dorsalis,34.917,-0.083,Invasive
b_dorsalis,34.25,-0.417,Invasive
b_dorsalis,36.917,-0.417,Invasive
b_dorsalis,37.583,-0.417,Invasive
b_dorsalis,37.417,-0.583,Invasive
b_dorsalis,37.583,-0.583,Invasive
b_dorsalis,37.083,-0.75,Invasive
b_dorsalis,37.083,-0.917,Invasive
b_dorsalis,38.083,-0.917,Invasive
b_dorsalis,15.917,-1.083,Invasive
b_dorsalis,34.417,-1.083,Invasive
b_dorsalis,37.25,-1.083,Invasive
b_dorsalis,36.75,-1.25,Invasive
b_dorsalis,37.25,-1.417,Invasive
b_dorsalis,38.083,-1.417,Invasive
b_dorsalis,36.083,-1.75,Invasive
b_dorsalis,11.083,-1.917,Invasive
b_dorsalis,30.083,-1.917,Invasive
b_dorsalis,30.25,-1.917,Invasive
b_dorsalis,34.417,-1.917,Invasive
b_dorsalis,37.417,-1.917,Invasive
b_dorsalis,37.583,-2.083,Invasive
b_dorsalis,29.583,-2.917,Invasive
b_dorsalis,31.25,-3.083,Invasive
b_dorsalis,29.417,-3.25,Invasive
b_dorsalis,40.083,-3.25,Invasive
b_dorsalis,29.417,-3.417,Invasive
b_dorsalis,36.75,-3.417,Invasive
b_dorsalis,37.75,-3.417,Invasive
b_dorsalis,38.583,-3.417,Invasive
b_dorsalis,30.75,-3.583,Invasive
b_dorsalis,39.917,-3.583,Invasive
b_dorsalis,32.417,-3.75,Invasive
b_dorsalis,32.583,-3.75,Invasive
b_dorsalis,39.75,-3.917,Invasive
b_dorsalis,13.083,-4.083,Invasive
b_dorsalis,29.583,-4.083,Invasive
b_dorsalis,39.583,-4.083,Invasive
b_dorsalis,12.75,-4.25,Invasive
b_dorsalis,13.25,-4.25,Invasive
b_dorsalis,15.25,-4.25,Invasive
b_dorsalis,33.25,-4.25,Invasive
b_dorsalis,34.25,-4.25,Invasive
b_dorsalis,39.417,-4.25,Invasive
b_dorsalis,39.583,-4.25,Invasive
b_dorsalis,15.417,-4.417,Invasive
b_dorsalis,39.25,-4.417,Invasive
b_dorsalis,39.417,-4.417,Invasive
b_dorsalis,39.083,-4.583,Invasive
b_dorsalis,39.25,-4.583,Invasive
b_dorsalis,39.417,-4.583,Invasive
b_dorsalis,34.75,-4.75,Invasive
b_dorsalis,12.917,-4.917,Invasive
b_dorsalis,29.583,-4.917,Invasive
b_dorsalis,29.75,-4.917,Invasive
b_dorsalis,32.75,-4.917,Invasive
b_dorsalis,15.083,-5.083,Invasive
b_dorsalis,38.417,-5.083,Invasive
b_dorsalis,38.75,-5.083,Invasive
b_dorsalis,38.917,-5.083,Invasive
b_dorsalis,39.083,-5.083,Invasive
b_dorsalis,39.75,-5.083,Invasive
b_dorsalis,15.083,-5.25,Invasive
b_dorsalis,38.75,-5.25,Invasive
b_dorsalis,39.75,-5.25,Invasive
b_dorsalis,13.083,-5.417,Invasive
b_dorsalis,35.75,-5.417,Invasive
b_dorsalis,38.083,-5.417,Invasive
b_dorsalis,34.917,-5.75,Invasive
b_dorsalis,35.25,-5.917,Invasive
b_dorsalis,39.25,-5.917,Invasive
b_dorsalis,33.083,-6.083,Invasive
b_dorsalis,35.583,-6.083,Invasive
b_dorsalis,36.083,-6.083,Invasive
b_dorsalis,36.917,-6.083,Invasive
b_dorsalis,37.083,-6.083,Invasive
b_dorsalis,37.417,-6.083,Invasive
b_dorsalis,37.583,-6.083,Invasive
b_dorsalis,39.25,-6.083,Invasive
b_dorsalis,39.417,-6.083,Invasive
b_dorsalis,37.583,-6.25,Invasive
b_dorsalis,39.25,-6.25,Invasive
b_dorsalis,39.417,-6.25,Invasive
b_dorsalis,37.583,-6.417,Invasive
b_dorsalis,38.583,-6.417,Invasive
b_dorsalis,39.583,-6.417,Invasive
b_dorsalis,37.417,-6.75,Invasive
b_dorsalis,37.583,-6.75,Invasive
b_dorsalis,37.75,-6.75,Invasive
b_dorsalis,37.917,-6.75,Invasive
b_dorsalis,38.917,-6.75,Invasive
b_dorsalis,39.083,-6.75,Invasive
b_dorsalis,39.25,-6.75,Invasive
b_dorsalis,37.417,-6.917,Invasive
b_dorsalis,37.583,-6.917,Invasive
b_dorsalis,37.583,-7.083,Invasive
b_dorsalis,36.417,-7.25,Invasive
b_dorsalis,37.25,-7.25,Invasive
b_dorsalis,36.917,-7.417,Invasive
b_dorsalis,38.917,-7.75,Invasive
b_dorsalis,35.583,-7.917,Invasive
b_dorsalis,36.75,-8.583,Invasive
b_dorsalis,13.25,-8.75,Invasive
b_dorsalis,33.75,-8.75,Invasive
b_dorsalis,34.583,-8.75,Invasive
b_dorsalis,39.417,-8.75,Invasive
b_dorsalis,33.917,-9.583,Invasive
b_dorsalis,35.083,-9.75,Invasive
b_dorsalis,40.25,-10.25,Invasive
b_dorsalis,35.583,-10.583,Invasive
b_dorsalis,38.75,-10.75,Invasive
b_dorsalis,43.25,-11.75,Invasive
b_dorsalis,28.25,-12.75,Invasive
b_dorsalis,45.083,-12.75,Invasive
b_dorsalis,39.25,-12.917,Invasive
b_dorsalis,40.417,-12.917,Invasive
b_dorsalis,45.083,-12.917,Invasive
b_dorsalis,38.917,-13.083,Invasive
b_dorsalis,40.417,-13.083,Invasive
b_dorsalis,40.583,-13.25,Invasive
b_dorsalis,38.917,-13.417,Invasive
b_dorsalis,39.75,-13.417,Invasive
b_dorsalis,33.917,-13.917,Invasive
b_dorsalis,39.917,-13.917,Invasive
b_dorsalis,33.75,-14.083,Invasive
b_dorsalis,24.75,-14.75,Invasive
b_dorsalis,36.583,-14.75,Invasive
b_dorsalis,35.417,-15.417,Invasive
b_dorsalis,34.583,-15.583,Invasive
b_dorsalis,37.75,-15.583,Invasive
b_dorsalis,37.25,-16.083,Invasive
b_dorsalis,36.75,-16.583,Invasive
b_dorsalis,36.917,-16.75,Invasive
b_dorsalis,36.917,-16.917,Invasive
b_dorsalis,14.583,-17.417,Invasive
b_dorsalis,25.083,-17.75,Invasive
b_dorsalis,36.917,-17.75,Invasive
b_dorsalis,35.25,-18.083,Invasive
b_dorsalis,49.417,-18.083,Invasive
b_dorsalis,32.75,-18.917,Invasive
b_dorsalis,33.25,-18.917,Invasive
b_dorsalis,47.417,-18.917,Invasive
b_dorsalis,33.25,-19.083,Invasive
b_dorsalis,33.417,-19.083,Invasive
b_dorsalis,33.417,-19.917,Invasive
b_dorsalis,57.583,-20.417,Invasive
